"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",4.07753744390573,1.00843896817921,4.04341519176706,5.26782160408968e-05
"cpdi_predictionmultipath_cpdi_predicted",-7.44483327389223,1.23862445149961,-6.01056540170731,1.8487740588367e-09
"cpdi_predictionmultipath_no_cpdi_predicted",-3.99892906198575e-15,1.43838990445615,-2.78014260917503e-15,0.999999999999998
"experiment_analgoue1b",-1.25485932738984e-14,1.42614806562458,-8.79894141174097e-15,0.999999999999993
"experiment_analgoue2a",-1.88031286656952,1.17784528819057,-1.59640055058342,0.110399393306135
"experiment_analgoue2b",15.4885310765041,1963.40542358098,0.00788860562901734,0.993705868643148
"experiment_analgoue2c",-0.710241613919258,1.43228206410715,-0.495881105906331,0.619978297324868
"experiment_analgoue3a",-23.6436059623941,4809.34091277557,-0.00491618423214438,0.996077468303641
"experiment_analgoue3b",-4.48300255201391,1.36025089078291,-3.29571741683158,0.000981707077817163
"experiment_analgoue4a",15.488531075006,4809.34091376894,0.00322051011827067,0.997430409140555
"experiment_analgoue4b",15.4885310673442,4809.34089533378,0.00322051012902243,0.997430409131976
"cpdi_predictionmultipath_cpdi_predicted:experiment_analgoue1b",2.3806850779282e-15,1.75167949799768,1.35908713931375e-15,0.999999999999999
"cpdi_predictionmultipath_no_cpdi_predicted:experiment_analgoue2a",1.17007125265026,1.86381829753666,0.627781825190097,0.530146873813824
"cpdi_predictionmultipath_no_cpdi_predicted:experiment_analgoue2b",9.24818697811517e-12,2776.67458478562,3.33067008600476e-15,0.999999999999997
"cpdi_predictionmultipath_cpdi_predicted:experiment_analgoue3a",7.44483327388948,6801.4351081897,0.00109459741296731,0.999126637798301
"cpdi_predictionmultipath_cpdi_predicted:experiment_analgoue3b",-11.7157701365121,4809.34105321058,-0.00243604477347077,0.998056319408225
"cpdi_predictionmultipath_cpdi_predicted:experiment_analgoue4a",-31.6873037635237,6801.43510890165,-0.00465891436971171,0.996282737601805
"cpdi_predictionmultipath_cpdi_predicted:experiment_analgoue4b",-31.6873037558705,6801.4350958718,-0.0046589143775118,0.996282737595582
